IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.246.219.128,443,443,TRUE,FRA,Europe,Frankfurt,1,10.42
34.154.78.66,443,443,TRUE,FRA,Europe,Frankfurt,1,10.42
34.34.43.211,443,443,TRUE,FRA,Europe,Frankfurt,3,10.42
34.90.71.109,443,443,TRUE,FRA,Europe,Frankfurt,11,10.41
34.154.118.156,443,443,TRUE,FRA,Europe,Frankfurt,13,10.41
34.91.219.105,443,443,TRUE,FRA,Europe,Frankfurt,19,10.39
35.198.146.145,443,443,TRUE,AMS,Europe,Amsterdam,21,10.38
34.159.97.220,443,443,TRUE,FRA,Europe,Frankfurt,23,10.37
34.154.158.134,443,443,TRUE,FRA,Europe,Frankfurt,23,10.37
34.91.129.16,443,443,TRUE,FRA,Europe,Frankfurt,28,10.36
34.116.195.230,443,443,TRUE,FRA,Europe,Frankfurt,36,10.34
34.154.195.218,443,443,TRUE,FRA,Europe,Frankfurt,50,10.34
34.90.71.109,443,443,TRUE,FRA,Europe,Frankfurt,60,10.34
34.90.56.180,443,443,TRUE,FRA,Europe,Frankfurt,60,10.34
34.65.100.224,443,443,TRUE,FRA,Europe,Frankfurt,61,10.3
34.116.217.100,443,443,TRUE,FRA,Europe,Frankfurt,61,10.3
34.154.3.202,443,443,TRUE,FRA,Europe,Frankfurt,61,10.29
34.154.54.43,443,443,TRUE,FRA,Europe,Frankfurt,61,10.29
34.89.248.119,443,443,TRUE,FRA,Europe,Frankfurt,62,10.28
34.91.83.173,443,443,TRUE,FRA,Europe,Frankfurt,63,10.22
34.118.45.49,443,443,TRUE,FRA,Europe,Frankfurt,63,10.22
34.116.172.143,443,443,TRUE,FRA,Europe,Frankfurt,66,10.21
34.116.222.221,443,443,TRUE,FRA,Europe,Frankfurt,68,10.21
34.90.2.209,443,443,TRUE,FRA,Europe,Frankfurt,82,10.21
34.91.219.105,443,443,TRUE,FRA,Europe,Frankfurt,86,10.2
