IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
144.21.40.84,443,443,TRUE,FRA,Europe,Frankfurt,166,8.18
130.162.161.191,443,443,TRUE,FRA,Europe,Frankfurt,183,8.17
158.180.28.2,443,443,TRUE,FRA,Europe,Frankfurt,193,8.15
129.154.216.86,443,443,TRUE,SIN,Asia Pacific,Singapore,214,8.15
141.148.233.210,443,443,TRUE,FRA,Europe,Frankfurt,199,8.15
89.168.52.251,8443,443,TRUE,CDG,Europe,Paris,166,8.13
193.123.63.115,443,443,TRUE,FRA,Europe,Frankfurt,195,8.13
158.180.44.148,443,443,TRUE,FRA,Europe,Frankfurt,207,8.12
141.144.236.98,443,443,TRUE,FRA,Europe,Frankfurt,205,8.11
131.186.29.196,443,443,TRUE,SIN,Asia Pacific,Singapore,213,8.1
132.145.11.171,443,443,TRUE,FRA,Europe,Frankfurt,182,8.07
132.145.14.89,443,443,TRUE,FRA,Europe,Frankfurt,173,8.07
152.70.163.0,443,443,TRUE,FRA,Europe,Frankfurt,168,8.06
152.67.148.80,443,443,TRUE,FRA,Europe,Frankfurt,183,8.05
144.21.32.56,443,443,TRUE,FRA,Europe,Frankfurt,181,8.05
152.70.58.42,443,443,TRUE,FRA,Europe,Frankfurt,176,8.04
138.2.160.142,443,443,TRUE,FRA,Europe,Frankfurt,176,8.04
141.148.236.3,443,443,TRUE,FRA,Europe,Frankfurt,190,8.02
150.230.121.27,443,443,TRUE,FRA,Europe,Frankfurt,185,8
141.147.106.105,443,443,TRUE,FRA,Europe,Frankfurt,204,8
193.123.37.179,443,443,TRUE,FRA,Europe,Frankfurt,207,7.99
79.72.74.165,443,443,TRUE,FRA,Europe,Frankfurt,174,7.95
141.147.70.113,443,443,TRUE,FRA,Europe,Frankfurt,170,7.92
152.67.135.10,443,443,TRUE,FRA,Europe,Frankfurt,173,7.92
143.47.179.198,443,443,TRUE,FRA,Europe,Frankfurt,166,7.91
152.70.164.59,443,443,TRUE,FRA,Europe,Frankfurt,169,7.91
140.238.123.11,443,443,TRUE,FRA,Europe,Frankfurt,173,7.9
193.123.32.30,443,443,TRUE,FRA,Europe,Frankfurt,212,7.89
132.226.212.126,443,443,TRUE,FRA,Europe,Frankfurt,181,7.89
152.70.56.107,443,443,TRUE,FRA,Europe,Frankfurt,204,7.88
141.144.206.240,443,443,TRUE,FRA,Europe,Frankfurt,211,7.87
141.147.28.29,443,443,TRUE,FRA,Europe,Frankfurt,189,7.85
158.101.192.188,443,443,TRUE,FRA,Europe,Frankfurt,175,7.85
144.21.32.20,443,443,TRUE,FRA,Europe,Frankfurt,166,7.83
141.147.15.16,443,443,TRUE,FRA,Europe,Frankfurt,167,7.83
89.168.125.77,443,443,TRUE,FRA,Europe,Frankfurt,161,7.83
143.47.250.169,443,443,TRUE,FRA,Europe,Frankfurt,169,7.82
158.101.201.240,443,443,TRUE,FRA,Europe,Frankfurt,183,7.81
143.47.178.98,443,443,TRUE,FRA,Europe,Frankfurt,177,7.8
132.226.201.246,443,443,TRUE,FRA,Europe,Frankfurt,181,7.8
193.123.37.179,443,443,TRUE,FRA,Europe,Frankfurt,186,7.8
141.148.235.227,443,443,TRUE,FRA,Europe,Frankfurt,183,7.79
158.101.179.160,443,443,TRUE,FRA,Europe,Frankfurt,161,7.79
158.180.57.136,443,443,TRUE,FRA,Europe,Frankfurt,191,7.79
158.180.13.95,443,443,TRUE,FRA,Europe,Frankfurt,167,7.78
130.61.109.6,2053,443,TRUE,FRA,Europe,Frankfurt,186,7.76
84.235.166.231,443,443,TRUE,FRA,Europe,Frankfurt,177,7.74
130.162.63.23,443,443,TRUE,FRA,Europe,Frankfurt,165,7.71
164.152.26.70,2052,443,TRUE,ORD,North America,Chicago,221,7.7
129.159.194.233,443,443,TRUE,FRA,Europe,Frankfurt,175,7.7
193.123.34.51,443,443,TRUE,FRA,Europe,Frankfurt,183,7.68
130.162.211.131,443,443,TRUE,FRA,Europe,Frankfurt,168,7.68
132.145.249.219,443,443,TRUE,AMS,Europe,Amsterdam,153,7.67
141.148.225.142,443,443,TRUE,AMS,Europe,Amsterdam,186,7.65
141.147.65.104,443,443,TRUE,FRA,Europe,Frankfurt,227,7.64
143.47.243.202,443,443,TRUE,FRA,Europe,Frankfurt,175,7.62
141.147.68.252,443,443,TRUE,FRA,Europe,Frankfurt,213,7.61
79.72.73.230,443,443,TRUE,FRA,Europe,Frankfurt,173,7.57
130.162.177.234,443,443,TRUE,FRA,Europe,Frankfurt,189,7.57
150.230.113.34,443,443,TRUE,FRA,Europe,Frankfurt,179,7.55
141.147.96.64,443,443,TRUE,FRA,Europe,Frankfurt,169,7.54
138.3.253.41,443,443,TRUE,FRA,Europe,Frankfurt,180,7.52
152.70.59.27,443,443,TRUE,FRA,Europe,Frankfurt,160,7.51
144.21.48.18,443,443,TRUE,FRA,Europe,Frankfurt,190,7.49
130.162.181.133,443,443,TRUE,FRA,Europe,Frankfurt,173,7.43
193.123.69.77,443,443,TRUE,AMS,Europe,Amsterdam,128,7.43
