IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.88.63.160,443,443,TRUE,FRA,Europe,Frankfurt,202,9.71
34.118.105.94,443,443,TRUE,FRA,Europe,Frankfurt,261,9.69
34.118.95.49,443,443,TRUE,FRA,Europe,Frankfurt,257,9.63
34.118.122.49,443,443,TRUE,FRA,Europe,Frankfurt,192,9.62
34.34.111.163,443,443,TRUE,FRA,Europe,Frankfurt,173,9.62
34.118.20.158,443,443,TRUE,FRA,Europe,Frankfurt,278,9.61
34.118.84.121,443,443,TRUE,FRA,Europe,Frankfurt,212,9.6
34.118.106.236,443,443,TRUE,FRA,Europe,Frankfurt,221,9.59
34.118.70.10,443,443,TRUE,FRA,Europe,Frankfurt,189,9.55
34.141.209.231,443,443,TRUE,FRA,Europe,Frankfurt,172,9.54
34.118.113.182,443,443,TRUE,FRA,Europe,Frankfurt,225,9.54
34.118.44.165,443,443,TRUE,FRA,Europe,Frankfurt,227,9.51
34.118.116.93,443,443,TRUE,FRA,Europe,Frankfurt,191,9.5
34.88.63.160,443,443,TRUE,FRA,Europe,Frankfurt,200,9.5
34.118.23.155,443,443,TRUE,FRA,Europe,Frankfurt,245,9.47
34.159.29.188,443,443,TRUE,FRA,Europe,Frankfurt,154,9.46
34.118.40.111,443,443,TRUE,FRA,Europe,Frankfurt,220,9.44
34.107.61.93,443,443,TRUE,FRA,Europe,Frankfurt,158,9.42
34.118.77.223,443,443,TRUE,FRA,Europe,Frankfurt,226,9.37
34.118.0.26,443,443,TRUE,FRA,Europe,Frankfurt,246,9.36
34.116.201.167,443,443,TRUE,FRA,Europe,Frankfurt,362,9.35
34.88.63.160,443,443,TRUE,FRA,Europe,Frankfurt,189,9.33
35.228.168.221,443,443,TRUE,ARN,Europe,Stockholm,195,9.33
34.118.44.17,443,443,TRUE,FRA,Europe,Frankfurt,208,9.32
34.116.245.42,443,443,TRUE,FRA,Europe,Frankfurt,182,9.31
34.116.234.57,443,443,TRUE,FRA,Europe,Frankfurt,188,9.3
34.116.155.2,443,443,TRUE,FRA,Europe,Frankfurt,181,9.28
34.118.121.79,443,443,TRUE,FRA,Europe,Frankfurt,223,9.26
34.90.62.220,443,443,TRUE,FRA,Europe,Frankfurt,162,9.26
34.116.234.12,443,443,TRUE,FRA,Europe,Frankfurt,268,9.26
34.118.89.135,443,443,TRUE,FRA,Europe,Frankfurt,224,9.24
34.118.7.29,443,443,TRUE,FRA,Europe,Frankfurt,242,9.22
34.32.237.101,443,443,TRUE,FRA,Europe,Frankfurt,182,9.21
34.118.75.59,443,443,TRUE,FRA,Europe,Frankfurt,239,9.2
34.154.150.103,443,443,TRUE,FRA,Europe,Frankfurt,175,9.19
34.118.127.0,443,443,TRUE,FRA,Europe,Frankfurt,216,9.18
34.118.68.179,443,443,TRUE,FRA,Europe,Frankfurt,223,9.16
34.116.216.165,443,443,TRUE,FRA,Europe,Frankfurt,247,9.15
34.154.230.148,443,443,TRUE,FRA,Europe,Frankfurt,185,9.14
34.118.63.214,443,443,TRUE,FRA,Europe,Frankfurt,278,9.14
34.116.178.230,443,443,TRUE,FRA,Europe,Frankfurt,183,9.12
34.116.209.116,443,443,TRUE,FRA,Europe,Frankfurt,243,9.1
34.65.24.49,443,443,TRUE,FRA,Europe,Frankfurt,171,9.1
34.118.122.49,443,443,TRUE,FRA,Europe,Frankfurt,297,9.07
34.123.83.237,443,443,TRUE,ORD,North America,Chicago,206,9.03
34.72.146.82,443,443,TRUE,ORD,North America,Chicago,207,9.03
34.72.146.82,443,443,TRUE,ORD,North America,Chicago,209,9.03
34.66.72.229,443,443,TRUE,ORD,North America,Chicago,209,9.02
34.65.67.163,443,443,TRUE,FRA,Europe,Frankfurt,176,9.02
34.123.83.237,443,443,TRUE,ORD,North America,Chicago,211,9.02
35.202.158.120,443,443,TRUE,ORD,North America,Chicago,210,9.02
35.226.211.129,443,443,TRUE,ORD,North America,Chicago,208,9.02
34.41.252.92,443,443,TRUE,ORD,North America,Chicago,206,9.01
34.66.72.229,443,443,TRUE,ORD,North America,Chicago,213,9
34.66.72.229,443,443,TRUE,ORD,North America,Chicago,208,9
34.41.252.92,443,443,TRUE,ORD,North America,Chicago,268,9
34.90.89.224,443,443,TRUE,FRA,Europe,Frankfurt,175,9
34.72.146.82,443,443,TRUE,ORD,North America,Chicago,210,8.99
34.72.146.82,443,443,TRUE,ORD,North America,Chicago,208,8.99
35.202.158.120,443,443,TRUE,ORD,North America,Chicago,208,8.98
34.29.228.169,443,443,TRUE,ORD,North America,Chicago,207,8.97
34.123.83.237,443,443,TRUE,ORD,North America,Chicago,207,8.97
34.70.91.86,443,443,TRUE,ORD,North America,Chicago,208,8.97
34.34.74.92,443,443,TRUE,FRA,Europe,Frankfurt,177,8.96
