IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.102.61,443,443,TRUE,FRA,Europe,Frankfurt,171,10.07
79.72.79.108,443,443,TRUE,FRA,Europe,Frankfurt,213,10.05
138.3.254.39,443,443,TRUE,FRA,Europe,Frankfurt,185,10.04
141.147.58.41,443,443,TRUE,FRA,Europe,Frankfurt,173,10.03
143.47.247.231,443,443,TRUE,FRA,Europe,Frankfurt,176,10
138.2.174.248,443,443,TRUE,FRA,Europe,Frankfurt,181,10
130.162.178.121,443,443,TRUE,FRA,Europe,Frankfurt,174,9.99
140.238.83.222,443,443,TRUE,FRA,Europe,Frankfurt,182,9.98
141.147.36.124,443,443,TRUE,FRA,Europe,Frankfurt,188,9.98
152.70.52.238,443,443,TRUE,FRA,Europe,Frankfurt,176,9.98
152.67.131.107,443,443,TRUE,FRA,Europe,Frankfurt,205,9.97
141.147.100.224,443,443,TRUE,FRA,Europe,Frankfurt,175,9.96
144.21.39.61,443,443,TRUE,FRA,Europe,Frankfurt,182,9.95
143.47.230.123,443,443,TRUE,FRA,Europe,Frankfurt,213,9.93
84.235.166.231,443,443,TRUE,FRA,Europe,Frankfurt,192,9.93
130.162.185.209,443,443,TRUE,FRA,Europe,Frankfurt,189,9.88
79.72.89.22,443,443,TRUE,FRA,Europe,Frankfurt,203,9.88
141.147.105.45,443,443,TRUE,FRA,Europe,Frankfurt,169,9.86
130.162.165.32,443,443,TRUE,FRA,Europe,Frankfurt,185,9.85
141.144.204.100,443,443,TRUE,FRA,Europe,Frankfurt,205,9.83
152.70.52.98,443,443,TRUE,FRA,Europe,Frankfurt,164,9.82
158.101.209.33,443,443,TRUE,FRA,Europe,Frankfurt,192,9.82
193.123.37.179,443,443,TRUE,FRA,Europe,Frankfurt,187,9.82
158.178.157.240,443,443,TRUE,FRA,Europe,Frankfurt,185,9.81
193.123.62.149,443,443,TRUE,FRA,Europe,Frankfurt,228,9.81
141.144.205.57,443,443,TRUE,FRA,Europe,Frankfurt,184,9.8
141.148.236.147,443,443,TRUE,FRA,Europe,Frankfurt,166,9.79
141.147.30.109,443,443,TRUE,FRA,Europe,Frankfurt,165,9.75
158.178.154.205,443,443,TRUE,FRA,Europe,Frankfurt,196,9.67
129.159.201.123,443,443,TRUE,FRA,Europe,Frankfurt,203,9.67
152.70.54.161,443,443,TRUE,FRA,Europe,Frankfurt,185,9.63
84.235.170.186,443,443,TRUE,FRA,Europe,Frankfurt,193,9.62
143.47.236.254,443,443,TRUE,FRA,Europe,Frankfurt,177,9.62
143.47.228.31,443,443,TRUE,FRA,Europe,Frankfurt,178,9.62
132.145.64.211,443,443,TRUE,FRA,Europe,Frankfurt,174,9.62
152.67.129.113,443,443,TRUE,FRA,Europe,Frankfurt,199,9.61
141.147.68.252,443,443,TRUE,FRA,Europe,Frankfurt,191,9.55
143.47.238.52,443,443,TRUE,FRA,Europe,Frankfurt,175,9.53
141.144.202.188,443,443,TRUE,FRA,Europe,Frankfurt,177,9.51
152.70.56.210,443,443,TRUE,FRA,Europe,Frankfurt,198,9.48
130.162.163.65,443,443,TRUE,FRA,Europe,Frankfurt,207,9.48
130.61.83.37,443,443,TRUE,FRA,Europe,Frankfurt,180,9.47
141.147.76.150,443,443,TRUE,FRA,Europe,Frankfurt,174,9.4
158.101.204.41,443,443,TRUE,FRA,Europe,Frankfurt,274,9.36
146.56.146.120,443,443,TRUE,SIN,Asia Pacific,Singapore,214,9.36
144.21.49.56,443,443,TRUE,FRA,Europe,Frankfurt,171,9.35
141.148.224.158,443,443,TRUE,FRA,Europe,Frankfurt,182,9.35
143.47.179.198,443,443,TRUE,FRA,Europe,Frankfurt,187,9.32
152.70.155.147,8443,8443,TRUE,LAX,North America,Los Angeles,218,9.28
130.61.203.115,8443,443,TRUE,FRA,Europe,Frankfurt,182,9.27
146.56.187.154,443,443,TRUE,SIN,Asia Pacific,Singapore,213,9.25
143.47.243.144,8443,443,TRUE,LHR,Europe,London,162,9.17
152.70.49.113,443,443,TRUE,FRA,Europe,Frankfurt,229,9.12
138.2.99.97,443,443,TRUE,SIN,Asia Pacific,Singapore,78,9
129.146.46.164,443,443,TRUE,LAX,North America,Los Angeles,220,8.97
130.162.187.163,443,443,TRUE,FRA,Europe,Frankfurt,184,8.93
